#s done,species,parameter,mean,2.50%,97.5%,trend,overlap 0?,color
"[ ,1,1]",CNAT,intercept,-1.444,-2.718,-0.414,,N,
"[ ,1,2]",CNAT,prop_exo,-0.225,-0.95,0.456,,Y,
"[ ,1,3]",CNAT,gastro,10.216,0.418,25.806,,N,
"[ ,1,4]",CNAT,symb_vac,-0.163,-1.147,0.795,,Y,
"[ ,1,5]",CNAT,avg_symb,0.475,-0.207,1.208,,Y,
"[ ,1,6]",CNAT,degr_symb,-0.564,-1.742,0.378,,Y,
"[ ,2,1]",OFAV,intercept,-1.458,-2.742,-0.406,,N,
"[ ,2,2]",OFAV,prop_exo,-0.173,-0.9,0.473,,Y,
"[ ,2,3]",OFAV,gastro,10.227,0.713,25.491,,N,
"[ ,2,4]",OFAV,symb_vac,0.413,-0.423,1.396,,Y,
"[ ,2,5]",OFAV,avg_symb,0.538,-0.254,1.423,,Y,
"[ ,2,6]",OFAV,degr_symb,-0.688,-1.411,-0.076,,N,
"[ ,3,1]",OFRA,intercept,-0.993,-2.168,-0.047,,N,
"[ ,3,2]",OFRA,prop_exo,-0.01,-0.552,0.527,,Y,
"[ ,3,3]",OFRA,gastro,10.2,0.369,25.653,,N,
"[ ,3,4]",OFRA,symb_vac,-0.113,-0.765,0.562,,Y,
"[ ,3,5]",OFRA,avg_symb,0.694,0.075,1.358,,N,
"[ ,3,6]",OFRA,degr_symb,0.423,-0.388,1.566,,Y,
"[ ,4,1]",PAST,intercept,-1.313,-2.84,0.061,,Y,
"[ ,4,2]",PAST,prop_exo,-0.114,-1.237,0.979,,Y,
"[ ,4,3]",PAST,gastro,10.135,0.085,25.874,,N,
"[ ,4,4]",PAST,symb_vac,-0.827,-2.023,0.077,,Y,
"[ ,4,5]",PAST,avg_symb,0.479,-0.472,1.561,,Y,
"[ ,4,6]",PAST,degr_symb,0.396,-0.724,2.237,,Y,
"[ ,5,1]",PSTR,intercept,-1.454,-2.62,-0.558,,N,
"[ ,5,2]",PSTR,prop_exo,-0.162,-0.713,0.356,,Y,
"[ ,5,3]",PSTR,gastro,10.192,0.576,25.648,,N,
"[ ,5,4]",PSTR,symb_vac,0.153,-0.388,0.696,,Y,
"[ ,5,5]",PSTR,avg_symb,0.076,-0.508,0.643,,Y,
"[ ,5,6]",PSTR,degr_symb,-0.486,-0.458,0.02,,Y,
