#s done,species,parameter,mean,10.00%,90.0%,trend,overlap 0?,color
"[ ,1,1]",CNAT,intercept,-0.699,-1.2274692,-0.1803028,,N,
"[ ,1,2]",CNAT,prop_exo,-0.151,-0.6282447,0.3059674,,Y,
"[ ,1,3]",CNAT,gastro,0.374,-0.822267,1.642866,,Y,
"[ ,1,4]",CNAT,symb_vac,-0.282,-0.9908747,0.4010472,,Y,
"[ ,1,5]",CNAT,avg_symb,0.458,-0.0678532,1.003263,,Y,
"[ ,1,6]",CNAT,degr_symb,-0.891,-1.855312959,0.008205646,,Y,
"[ ,2,1]",OFAV,intercept,-0.608,-1.13702484,-0.07138417,,N,
"[ ,2,2]",OFAV,prop_exo,-0.179,-0.636219,0.2612041,,Y,
"[ ,2,3]",OFAV,gastro,0.804,-0.01977766,1.86399473,,Y,
"[ ,2,4]",OFAV,symb_vac,0.405,-0.2229841,1.0673046,,Y,
"[ ,2,5]",OFAV,avg_symb,0.405,-0.2013345,1.0305308,,Y,
"[ ,2,6]",OFAV,degr_symb,-1.212,-2.0225675,-0.4179421,,N,
"[ ,3,1]",OFRA,intercept,-0.81,-1.278786,-0.3518821,,N,
"[ ,3,2]",OFRA,prop_exo,0.227,-0.2768845,0.7365407,,Y,
"[ ,3,3]",OFRA,gastro,-0.406,-1.068007,0.190474,,Y,
"[ ,3,4]",OFRA,symb_vac,-0.482,-1.1298432,0.1572216,,Y,
"[ ,3,5]",OFRA,avg_symb,-0.25,-0.8503873,0.3347399,,Y,
"[ ,3,6]",OFRA,degr_symb,0.183,-0.3817145,0.8182697,,Y,
"[ ,4,1]",PAST,intercept,-0.596,-1.22136023,0.03281967,,Y,
"[ ,4,2]",PAST,prop_exo,0.346,-0.1148309,0.8415827,,Y,
"[ ,4,3]",PAST,gastro,-0.092,-1.483037,1.28988,,Y,
"[ ,4,4]",PAST,symb_vac,-1.162,-1.9081113,-0.4916413,,N,
"[ ,4,5]",PAST,avg_symb,0.481,-0.09382747,1.07084858,,Y,
"[ ,4,6]",PAST,degr_symb,0.104,-0.9553222,1.2471569,,Y,
"[ ,5,1]",PSTR,intercept,-0.655,-1.027976,-0.2885521,,N,
"[ ,5,2]",PSTR,prop_exo,-0.117,-0.4670869,0.22319,,Y,
"[ ,5,3]",PSTR,gastro,0.367,-0.6540067,1.4646291,,Y,
"[ ,5,4]",PSTR,symb_vac,0.166,-0.237323,0.5708166,,Y,
"[ ,5,5]",PSTR,avg_symb,-0.01,-0.4440247,0.417504,,Y,
"[ ,5,6]",PSTR,degr_symb,-0.868,-1.535431,-0.2406451,,N,
